URN,SCHNAME,STREET,Latitude,Longitude,,,,
120621,The Gainsborough Parish Church Primary School,Acland Street,53.402664,-0.777321858,,,,
120492,The Gainsborough Charles Baines Community Primary School,Baines Road,53.39974264,-0.757354275,,,,
120491,Hemswell Cliff Primary School,Capper Avenue,53.39855402,-0.570052589,,,,
120469,Kelsey Primary School,Chapel Street,53.52925365,-0.419791407,,,,
120464,Morton Trentside Primary School,Crooked Billet Street,53.4166616,-0.786235244,,,,
120570,Fiskerton Church of England Primary School,Ferry Road,53.23660884,-0.425483175,,,,
120480,Tealby School,Front Street,53.40127105,-0.260978,,,,
120589,The Bardney Church of England and Methodist Primary School,Henry Lane,53.21171767,-0.315802773,,,,
120445,Faldingworth Community Primary School,High Street,53.3488769,-0.399213856,,,,
120473,Scotter Primary School,High Street,53.49477277,-0.664303816,,,,
120578,Newton-on-Trent CofE Primary School,High Street,53.26019653,-0.753885587,,,,
120581,Reepham Church of England Primary School,High Street,53.25047036,-0.445562406,,,,
120585,Scampton Church of England Primary School,High Street,53.30248372,-0.574463971,,,,
120619,Blyton Cum Laughton Church of England School,High Street,53.46578642,-0.723006738,,,,
120583,The Saxilby Church of England Primary School,Highfield Road,53.2691848,-0.657474792,,,,
120457,Legsby Primary School,Legsby,53.35420535,-0.295564419,,,,
120505,Cherry Willingham Primary School,Lime Grove,53.23685779,-0.460198146,,,,
131490,"St George's Church of England Community Primary School, Gainsborough",Lindsey Close,53.39071675,-0.754973586,,,,
120468,Normanby Primary School,Main Street,53.3794462,-0.496676371,,,,
120471,Osgodby Primary School,Main Street,53.41961698,-0.383868114,,,,
120572,The Hackthorn Church of England Primary School,Main Street,53.33031159,-0.502744258,,,,
120456,Keelby Primary School,Manor Street,53.57491829,-0.245054989,,,,
120568,Corringham CofE VC Primary School,Middle Street,53.41382026,-0.690401344,,,,
120626,The Nettleham Church of England Voluntary Aided Junior School,Mill Hill,53.26457512,-0.488535556,,,,
120577,The Market Rasen Church of England Primary School,Mill Road,53.38569886,-0.339751743,,,,
120465,Nettleton Community Primary School,Moortown Road,53.48592451,-0.332595018,,,,
120463,The Middle Rasen Primary School,North Street,53.40108268,-0.369539876,,,,
120487,Willoughton Primary School,Northfield Lane,53.428896,-0.602512689,,,,
139332,Mercer's Wood Academy,Ropery Road,53.4080096,-0.783518277,,,,
120569,Dunholme St Chad's Church of England Primary School,Ryland Road,53.30271146,-0.467780429,,,,
138063,Gainsborough Benjamin Adlard Community School,Sandsfield Lane,53.38944629,-0.768939246,,,,
139187,Welton St Mary's Church of England Primary Academy,School Drive,53.30727045,-0.484669744,,,,
120472,Pollyplatt Primary School,School Lane,53.29905469,-0.542044832,,,,
120478,Sturton by Stow Primary School,School Lane,53.31859165,-0.665854959,,,,3
120590,Caistor CofE and Methodist Primary School,Southdale,53.49488489,-0.315433231,,,,
120462,Marton Primary School,Stow Park Road,53.36406421,-0.750041437,,,,
138753,Ellison Boulters Church of England Primary School,Sudbrooke Road,53.28167001,-0.44893176,,,,
120454,Ingham Primary School,The Green,53.3393832,-0.5804936,,,,
120485,Waddingham Primary School,The Green,53.45297892,-0.518857216,,,,
120625,Frances Olive Anderson Church of England (Aided) Primary School,The Grove,53.36949821,-0.748998171,,,,
120571,The Grasby All Saints Church of England Primary School,Vicarage Lane,53.53004542,-0.360871602,,,,
139361,White's Wood Academy,Whites Wood Lane,53.3995734,-0.759076171,,,,
